description,category
A love story between a high school girl and a celebrity,Romance
An epic fantasy adventure with magical creatures,Fantasy
A group of friends battle villains to save their city,Action
A slice-of-life story about family and relationships,Romance
A journey through space to discover new worlds,Sci-Fi
A high school student discovers he has superhuman abilities,Action
A fantasy world where a young hero must defeat the dark lord,Fantasy
A romantic comedy about misunderstandings in a college setting,Romance
A cyberpunk detective story set in a dystopian future,Sci-Fi
A martial artist's quest to become the strongest fighter in the world,Action
A young artist moves to a new city and finds love,Romance
An ancient prophecy leads to a great adventure,Fantasy
Superheroes try to save the world from an alien invasion,Action
Time travelers explore the future to fix the past,Sci-Fi
A family torn apart by secrets and betrayal,Drama
